,city,cloudiness,country,date,humidity,lat,long,max temp,wind speed
298,port lincoln,70,AU,1578272750,61,-34.72,135.86,65.57,9.24
299,tondano,40,ID,1578272750,83,1.3,124.91,84.2,2.24
300,nakhon phanom,0,LA,1578272750,85,17.4,104.79,59.99,2.98
301,buluang,40,PH,1578272750,83,10.47,123.98,80.6,6.93
302,campos belos,84,BR,1578272750,97,-13.04,-46.77,68.34,1.95
303,ajdabiya,89,LY,1578272751,74,30.75,20.22,59.61,25.43
304,mapiripan,96,CO,1578272751,68,2.89,-72.13,78.28,4.54
305,nhulunbuy,40,AU,1578272751,62,-12.18,136.78,89.6,14.99
306,victoria,75,BN,1578272751,79,5.28,115.24,84.2,5.82
307,tezu,91,IN,1578272751,89,27.93,96.16,49.06,2.21
308,iberia,100,PE,1578272751,93,-11.41,-69.49,71.94,1.54
309,santa cruz,100,BR,1578272751,78,-6.22,-36.02,76.05,7.34
310,cartagena,0,ES,1578272571,100,37.63,-1.0,46.0,5.82
311,naliya,0,IN,1578272752,45,23.26,68.83,63.28,6.64
312,el jicaro,64,GT,1578272752,85,14.91,-89.89,58.6,4.81
313,praia da vitoria,75,PT,1578272752,93,38.73,-27.07,62.6,21.56
314,kautokeino,100,NO,1578272752,92,69.01,23.04,15.44,13.51
315,abnub,0,EG,1578272752,56,27.27,31.15,44.6,12.75
316,waipawa,0,NZ,1578272752,70,-39.94,176.59,59.0,25.99
317,syracuse,90,US,1578272612,92,43.05,-76.15,32.0,3.62
318,zatoka,75,PL,1578272753,92,50.04,20.52,28.99,1.12
319,mahibadhoo,53,MV,1578272753,77,3.78,72.97,81.97,10.31
320,lavrentiya,8,RU,1578272753,83,65.58,-170.99,-11.85,6.22
321,nabire,79,ID,1578272753,79,-3.36,135.5,80.53,0.85
322,arlit,3,NE,1578272753,26,18.74,7.39,57.34,11.25
323,cherskiy,4,RU,1578272753,62,68.75,161.3,-8.63,4.52
324,te anau,59,NZ,1578272753,75,-45.41,167.72,44.42,12.75
325,yatou,20,CM,1578272753,88,3.63,9.81,80.6,3.36
326,katsuura,40,JP,1578272181,67,33.93,134.5,51.01,9.17
327,lisakovsk,48,KZ,1578272754,94,52.55,62.49,10.98,8.99
328,karasjok,100,NO,1578272754,73,69.47,25.52,19.4,28.86
329,constitucion,75,MX,1578272754,11,23.99,-104.67,68.0,4.7
330,ust-tsilma,88,RU,1578272754,92,65.44,52.15,11.75,8.59
331,dongning,40,CN,1578272754,80,44.06,131.12,12.24,1.72
332,inhambane,11,MZ,1578272754,83,-23.87,35.38,78.64,13.22
333,campoverde,75,EC,1578272754,71,-0.91,-78.62,53.6,10.29
334,caraguatatuba,75,BR,1578272704,88,-23.62,-45.41,69.8,2.24
335,bom jardim,75,BR,1578272755,83,-7.8,-35.59,75.2,13.87
336,lenoir,1,US,1578272755,74,35.91,-81.54,44.01,4.7
337,caravelas,100,BR,1578272755,93,-17.73,-39.27,72.5,11.03
338,mopti,17,ML,1578272755,34,14.49,-4.19,66.2,6.93
339,tarata,100,PE,1578272755,64,-17.47,-70.03,71.6,8.05
340,tromso,90,NO,1578272755,92,69.65,18.96,28.4,18.34
341,mahuva,0,IN,1578272755,57,21.09,71.76,72.7,14.23
342,san cristobal,95,HN,1578272755,82,14.68,-86.92,65.12,9.28
343,nioro,0,GM,1578272756,13,13.79,-15.05,67.55,10.38
